requirement_id,description,min_images,match_column,match_value,required,priority,notes
single_khr,"Single current KHR notes, front/back mix",5,scene_type,single_khr,yes,3,"Normal table/background; useful for sanity and class balance."
simple_overlap,"Simple overlapping KHR notes with visible denomination evidence",5,scene_type,simple_overlap,yes,2,"2-4 notes, denomination numerals or distinctive design visible."
hand_fan,"Hand-held fan photos",5,scene_type,hand_fan,yes,1,"6-15 notes with at least some human-identifiable visible slices."
same_denomination_fan,"Hand-held fan photos containing repeated same-denomination notes",3,scene_type,same_denomination_fan,yes,1,"Targets same-class counting/fusion; include at least 3 notes of one denomination where separate physical notes are human-countable."
hand_occlusion,"Finger or hand occlusion",3,scene_type,hand_occlusion,yes,2,"Fingers can cover notes, but denomination evidence must remain visible."
partial_off_frame,"Notes clipped by the image border",3,scene_type,partial_off_frame,yes,2,"Tests half/quarter/off-frame behavior."
thin_slice_khr_5000,"Thin/edge partial KHR_5000 slices, front/back mix",3,scene_type,thin_slice_khr_5000,yes,1,"Targets high-confidence KHR_5000 -> KHR_10000 misses from the Roboflow old/common failure pack."
khr_5000_face_number_overlap,"KHR_5000 partials showing portrait/5000-number overlap views",5,scene_type,khr_5000_face_number_overlap,yes,1,"Targets shop-overlap row-6: visible KHR_5000 face+number crop embeds nearest to KHR_10000 examples."
thin_slice_khr_20000,"Thin/edge partial KHR_20000 slices, front/back mix",3,scene_type,thin_slice_khr_20000,yes,1,"Targets high-confidence KHR_20000 -> KHR_10000/KHR_5000 misses from the Roboflow old/common failure pack."
weak_khr_20000,"At least one reviewed scene containing KHR_20000",1,denominations,KHR_20000,yes,1,"Weak class; include real phone-photo coverage."
weak_khr_50000,"At least one reviewed scene containing KHR_50000",1,denominations,KHR_50000,yes,2,"Weak class; include real phone-photo coverage."
mixed_usd_khr_optional,"Optional mixed USD + KHR scenes",2,scene_type,mixed_usd_khr,no,9,"Do after KHR-only capture is usable."
